date,price
01/05/2000,378
01/06/2000,327
01/07/2000,280
01/09/2000,254
01/10/2000,332
01/11/2000,424
01/12/2000,316
01/01/2001,629
01/02/2001,563
01/03/2001,847
01/04/2001,515
01/05/2001,358
01/06/2001,326
01/07/2001,281
01/08/2001,262
01/09/2001,255
01/10/2001,329
01/11/2001,493
01/12/2001,682
01/01/2002,741
01/02/2002,805
01/03/2002,706
01/04/2002,616
01/05/2002,506
01/06/2002,370
01/07/2002,311
01/08/2002,301
01/09/2002,285
01/10/2002,322
01/11/2002,346
01/12/2002,484
01/01/2003,649
01/02/2003,671
01/03/2003,713
01/04/2003,596
01/05/2003,373
01/06/2003,324
01/07/2003,284
01/08/2003,272
01/09/2003,280
01/10/2003,427
01/11/2003,433
01/12/2003,384
01/01/2004,744
01/02/2004,801
01/03/2004,560
01/04/2004,479
01/05/2004,321
01/06/2004,268
01/07/2004,280
01/08/2004,259
01/09/2004,259
01/10/2004,271
01/11/2004,395
01/12/2004,476
01/01/2005,446
01/02/2005,712
01/03/2005,443
01/04/2005,422
01/05/2005,284
01/06/2005,249
01/07/2005,235
01/08/2005,222
01/09/2005,220
01/10/2005,279
01/11/2005,417
01/12/2005,501
01/01/2006,590
01/02/2006,915
01/03/2006,511
01/04/2006,541
01/05/2006,277
01/06/2006,279
01/07/2006,234
01/08/2006,236
01/09/2006,235
01/10/2006,297
01/11/2006,402
01/12/2006,497
01/01/2007,546
01/02/2007,675
01/03/2007,674
01/04/2007,501
01/05/2007,429
01/06/2007,287
01/07/2007,234
01/08/2007,214
01/09/2007,230
01/10/2007,267
01/11/2007,364
01/12/2007,434
01/01/2008,456
01/02/2008,696
01/03/2008,540
01/04/2008,648
01/05/2008,282
01/06/2008,254
01/07/2008,232
01/08/2008,226
01/09/2008,224
01/10/2008,256
01/11/2008,382
01/12/2008,526
01/01/2009,648
01/02/2009,593
01/03/2009,911
01/04/2009,881
01/05/2009,641
01/06/2009,440
01/07/2009,350
01/08/2009,296
01/09/2009,296
01/10/2009,301
01/11/2009,339
01/12/2009,602
01/01/2010,640
01/02/2010,673
01/03/2010,643
01/04/2010,555
01/05/2010,389
01/06/2010,279
01/07/2010,259
01/08/2010,233
01/09/1967,239
01/10/1967,253
01/11/1967,325
01/12/1967,523
01/01/1968,523
01/02/1968,523
01/03/1968,561
01/04/1968,398
01/05/1968,271
01/06/1968,242
01/07/1968,240
01/08/1968,231
01/09/1968,252
01/10/1968,268
01/11/1968,285
01/12/1968,423
01/01/1969,601
01/02/1969,672
01/03/1969,587
01/04/1969,588
01/05/1969,443
01/06/1969,269
01/07/1969,235
01/08/1969,229
01/09/1969,222
01/10/1969,275
01/11/1969,305
01/01/1970,482
01/02/1970,493
01/03/1970,719
01/04/1970,668
01/05/1970,514
01/06/1970,303
01/07/1970,265
01/08/1970,235
01/09/1970,246
01/10/1970,297
01/11/1970,297
01/12/1970,342
01/01/1971,436
01/02/1971,873
01/03/1971,640
01/04/1971,823
01/05/1971,482
01/06/1971,303
01/07/1971,279
01/08/1971,251
01/09/1971,240
01/10/1971,274
01/11/1971,334
01/12/1971,378
01/01/1972,621
01/02/1972,955
01/03/1972,771
01/04/1972,563
01/05/1972,474
01/06/1972,324
01/07/1972,281
01/08/1972,269
01/09/1972,274
01/10/1972,265
01/11/1972,330
01/12/1972,607
01/01/1973,627
01/02/1973,848
01/03/1973,716
01/04/1973,680
01/05/1973,376
